,Collection list
1934,THE WONDERQUEST
1935,GOBLIN GHOSTS
1936,REBEL BOTS
1937,ETHEREMURA
1938,LONDON GIFT
1939,COVIDPUNKS
1940,POOPIES
1941,APESHIT SOCIAL CLUB
1942,DEGEN FARM CREATURES
1943,THE WOLFGANG PUPS
1944,DEAD DUDE PROJECT
1945,ROBOTOS
1946,NUMI
1947,THE WICKED STALLIONS
1948,ANIMAL WORLD WAR
1949,ANGELS OF AETHER
1950,THEUNDEADPUNKS
1951,GREAT APE SOCIETY
1952,THE WOLFGANG
1953,ART STARS CLUB
1954,KITTYBUTTS
1955,RUUMZ
1956,ANIMETAS
1957,DOPE SHIBAS
1958,DIZZY DRAGONS
1959,STONER CATS
1960,SPOOKIES
1961,PUDGY PENGUINS
1962,PARTY PENGUINS
1963,CHUNKY COW CLUB TOUR
1964,EPIC WIZARD UNION
1965,THE VOGU
1966,CRAZY LIZARD ARMY BASE
1967,SEWER RAT SOCIAL CLUB
1968,WHELPSNFT
1969,WORLD OF WOMEN
1970,REALCRYPTOPUNKS
1971,SINGULARITY HERO
1972,THE RUG SHOP
1973,CANINE COUNTRY CLUB
1974,BARN OWLZ
1975,CYPHER CITY
1976,KATANA N SAMURAI
1977,CRIMINAL DONKEYS
1978,HALL OF FAME GOAT LODGE
1979,CRYPTINIES
1980,CUNNING FOXES
1981,BORED BANANAS
1982,CHICKEN DERBY
1983,KAMAGANG
1984,BORING BANANAS
1985,LONELY ALIEN SPACE CLUB
1986,WEIRD WHALES
1987,QUBITS ON THE ICE
1988,GALACTIC SECRET AGENCY
1989,THE DOGE POUND
1990,MAESTROPUPS
1991,SUPDUCKS
1992,KUNGFU HERO
1993,GOBLIN GOONS
1994,BONES & BANANAS
1995,BYOPILLS
1996,RABBIT COLLEGE CLUB
1997,UNTAMED ELEPHANTS
1998,THE DIVINE ORDER OF THE ZODIAC
1999,FAME LADY SQUAD
2000,THE ALIEN BOY
2001,THE WICKED CRANIUMS
2002,BULLSONTHEBLOCK
2003,BORED APE KENNEL CLUB
2004,BORED APE YACHT CLUB
2005,TOP DOG BEACH CLUB
2006,MONSTRO CITIES
2007,GUTTER RATS
2008,GOATZ
2009,MONSTER REHAB
2010,DEADHEADS
2011,HASHDEMONS
2012,DEVIOUS DEMON DUDES
2013,DEGENZ
2014,GUTTER CAT GANG
2015,LUCKY MANEKI
2016,MISFIT UNIVERSITY
2017,MAD CAT MILITIA
2018,COOL CATS
2019,FORGOTTEN RUNES WIZARDS CULT
2020,CRYPTOPUNKS
2021,VEEFRIENDS
2022,MEEBITS
